TimeofDay,AirTemp,Humidity,Dewpoint,BarPres,WindSpeed,SolarRad
515,11.73,40.37,-1.29,102.54,0.82,4.15
530,11.79,40.52,-1.19,102.53,0.939,4.13
545,11.45,42.63,-0.83,102.54,0.957,4.14
600,10.82,45.4,-0.5,102.53,0.997,4.14
615,11.23,45.44,-0.13,102.52,1.115,4.13
630,11.13,47.78,0.47,102.52,1.031,4.14
645,11.06,49.92,1.01,102.54,1.696,4.15
700,11.37,51.15,1.65,102.56,1.787,4.16
715,11.61,50.46,1.67,102.56,1.657,4.17
730,11.32,51.45,1.67,102.57,1.502,4.17
745,9.84,59.51,2.33,102.57,1.162,5.39
800,8.71,64.15,2.31,102.59,1.203,14.86
815,8.36,64.31,2.03,102.59,0.993,19.32
830,8.07,66.01,2.11,102.6,1.038,42.76
845,8.08,67.07,2.35,102.62,1.121,129.9
900,9.72,60.67,2.48,102.63,1.206,184.2
915,11.36,53.39,2.23,102.63,1.797,253.6
930,12.82,49.85,2.62,102.62,2.507,293.5
945,14.09,49.97,3.83,102.62,2.937,319.9
1000,15.33,48.06,4.4,102.63,3.888,413.3
1015,16.02,46.67,4.62,102.63,3.811,426.2
1030,16.87,45.12,4.91,102.62,4.064,422.2
1045,17.15,45.21,5.2,102.62,3.864,389.3
1100,17.22,46.49,5.67,102.63,3.832,303.2
1115,17.06,51.47,7,102.62,4.059,252.7
1130,16.98,59.86,9.15,102.6,4.403,263.8
1145,17.03,63.05,9.96,102.57,4.033,252.5
1200,17.05,64.04,10.21,102.54,3.843,267.7
1215,17.13,64.67,10.44,102.5,3.231,231.9
1230,17.35,66.09,10.98,102.47,3.241,252.3
1245,17.43,67.71,11.41,102.44,3.229,298
1300,17.77,68.12,11.83,102.43,3.947,316.8
1315,17.79,68.42,11.92,102.42,3.451,255.3
1330,18.12,67.64,12.06,102.4,2.531,268.7
1345,18.56,66.32,12.18,102.4,2.89,351.3
1400,19.07,64.38,12.21,102.39,2.555,467.7
1415,19,63.71,11.98,102.38,3.062,263.2
1430,18.92,63.55,11.86,102.38,3.189,214.7
1445,19.08,62.74,11.83,102.36,2.361,218.5
1500,19.21,62.53,11.91,102.36,2.43,194.3
1515,19.13,62.39,11.8,102.35,2.488,166.6
1530,18.97,62.19,11.59,102.34,2.575,111.2
1545,18.84,62.41,11.52,102.36,2.414,103.4
1600,18.79,63,11.61,102.37,1.941,114.6
1615,18.71,62.26,11.36,102.37,2.303,107.5
1630,18.57,62.47,11.29,102.39,2.187,76.9
1645,18.44,62.79,11.23,102.39,1.858,49.7
1700,18.19,63.97,11.29,102.39,1.098,39.02
1715,18.02,64.29,11.19,102.38,1.221,31.16
1730,17.48,66.36,11.16,102.37,1.533,18.31
1745,17.35,66.7,11.1,102.35,2.26,7.77
1800,17.38,66.52,11.1,102.34,2.216,4.35
1815,17.07,67.51,11.02,102.37,1.383,4.17
1830,16.35,70.3,10.94,102.39,1.337,4.17
1845,16.05,71.6,10.93,102.39,1.083,4.17
1900,15.83,72.5,10.9,102.4,1.179,4.17
1915,15.66,73.2,10.9,102.39,1.336,4.17
1930,15.67,73.4,10.93,102.37,1.441,4.17
1945,15.57,74.1,10.99,102.37,1.543,4.17
2000,15.39,75.1,11.01,102.37,1.703,4.17
2015,15.23,75.9,11.02,102.36,1.411,4.17
2030,15.2,76.1,11.05,102.36,1.608,4.17
2045,14.75,77.7,10.91,102.37,1.22,4.17
2100,14.2,80.3,10.86,102.38,1.008,4.17
2115,13.85,82.3,10.89,102.39,0.891,4.17
2130,14.04,81.7,10.98,102.39,1.051,4.17
2145,13.79,81.9,10.76,102.41,1.369,4.17
2200,13.4,84,10.76,102.42,1.073,4.17
2215,13.79,82.7,10.91,102.41,1.049,4.17
2230,14.15,81.4,11.02,102.42,1.379,4.17
2245,13.94,81.9,10.91,102.42,1.47,4.17
